Term,RawFrequency,RelativeFrequency,ZScore,ZScoreRatio
fylle,1.0,489.71594,-0.23334979,-1.0
fyrdwicum,1.0,489.71594,-0.23334979,-1.0
fyrngeflitu,1.0,489.71594,-0.23334979,-1.0
fyrst,1.0,489.71594,-0.23334979,-1.0
fysan,1.0,489.71594,-0.23334979,-1.0
fæder,1.0,489.71594,-0.23334979,-1.0
fæger,1.0,489.71594,-0.23334979,-1.0
fægre,1.0,489.71594,-0.23334979,-1.0
fægum,1.0,489.71594,-0.23334979,-1.0
færspel,1.0,489.71594,-0.23334979,-1.0
fæste,1.0,489.71594,-0.23334979,-1.0
fæstengeates,1.0,489.71594,-0.23334979,-1.0
fæstenne,1.0,489.71594,-0.23334979,-1.0
fætelse,1.0,489.71594,-0.23334979,-1.0
galferhð,1.0,489.71594,-0.23334979,-1.0
galmoda,1.0,489.71594,-0.23334979,-1.0
gan,1.0,489.71594,-0.23334979,-1.0
garas,1.0,489.71594,-0.23334979,-1.0
gargewinnes,1.0,489.71594,-0.23334979,-1.0
geaf,1.0,489.71594,-0.23334979,-1.0
gearoþoncolre,1.0,489.71594,-0.23334979,-1.0
gearwe,1.0,489.71594,-0.23334979,-1.0
geat,1.0,489.71594,-0.23334979,-1.0
gebidenne,1.0,489.71594,-0.23334979,-1.0
geblonden,1.0,489.71594,-0.23334979,-1.0
gebroht,1.0,489.71594,-0.23334979,-1.0
gebrohte,1.0,489.71594,-0.23334979,-1.0
gebrohton,1.0,489.71594,-0.23334979,-1.0
gebunden,1.0,489.71594,-0.23334979,-1.0
gebylde,1.0,489.71594,-0.23334979,-1.0
gebærdon,1.0,489.71594,-0.23334979,-1.0
gecoste,1.0,489.71594,-0.23334979,-1.0
gecunnian,1.0,489.71594,-0.23334979,-1.0
gecyðed,1.0,489.71594,-0.23334979,-1.0
gedemed,1.0,489.71594,-0.23334979,-1.0
gedrefed,1.0,489.71594,-0.23334979,-1.0
gedyrsod,1.0,489.71594,-0.23334979,-1.0
geeodon,1.0,489.71594,-0.23334979,-1.0
gefeah,1.0,489.71594,-0.23334979,-1.0
gefeol,1.0,489.71594,-0.23334979,-1.0
gefohten,1.0,489.71594,-0.23334979,-1.0
gefriðode,1.0,489.71594,-0.23334979,-1.0
gefrægen,1.0,489.71594,-0.23334979,-1.0
gefrægn,1.0,489.71594,-0.23334979,-1.0
gegangan,1.0,489.71594,-0.23334979,-1.0
gegearewod,1.0,489.71594,-0.23334979,-1.0
gegnum,1.0,489.71594,-0.23334979,-1.0
gegremede,1.0,489.71594,-0.23334979,-1.0
geheawan,1.0,489.71594,-0.23334979,-1.0
gehlæste,1.0,489.71594,-0.23334979,-1.0
gehrodene,1.0,489.71594,-0.23334979,-1.0
gehwylces,1.0,489.71594,-0.23334979,-1.0
gehwylcne,1.0,489.71594,-0.23334979,-1.0
gehwæne,1.0,489.71594,-0.23334979,-1.0
gehyran,1.0,489.71594,-0.23334979,-1.0
